schema_version,model,category,file,complexity,docstring_coverage,bad_practices_count,execution_time_sec,vibebench_score,status,timestamp
1.1,chatgpt,AI Synthesis,TASK-001_chatgpt.py,1.8,0.0,0,0.039689064025878906,0.2465,Success,2026-05-09T10:25:27.482988
1.1,chatgpt,AI Synthesis,TASK-002_chatgpt.py,7.0,100.0,0,0.3152153491973877,0.6859,Success,2026-05-09T10:25:27.807990
1.1,chatgpt,AI Synthesis,TASK-003_chatgpt.py,6.0,100.0,0,0.03839302062988281,0.5803,Success,2026-05-09T10:25:27.846383
1.1,chatgpt,AI Synthesis,TASK-004_chatgpt.py,6.0,100.0,0,0.037401437759399414,0.5761,Success,2026-05-09T10:25:27.886522
1.1,chatgpt,AI Synthesis,TASK-005_chatgpt.py,3.0,100.0,0,0.029490947723388672,0.3481,Success,2026-05-09T10:25:27.916013
1.1,chatgpt,AI Synthesis,TASK-006_chatgpt.py,4.0,0.0,0,0.03380608558654785,0.407,Success,2026-05-09T10:25:27.949819
1.1,chatgpt,AI Synthesis,TASK-007_chatgpt.py,3.0,0.0,0,0.0313563346862793,0.3277,Success,2026-05-09T10:25:27.981175
1.1,chatgpt,AI Synthesis,TASK-008_chatgpt.py,7.0,100.0,0,0.05093669891357422,0.6224,Success,2026-05-09T10:25:28.032112
1.1,chatgpt,AI Synthesis,TASK-009_chatgpt.py,1.0,100.0,0,0.04022216796875,0.2049,Success,2026-05-09T10:25:28.072334
1.1,chatgpt,AI Synthesis,TASK-010_chatgpt.py,4.0,50.0,0,0.11887764930725098,0.4168,Runtime Error,2026-05-09T10:25:28.194160
1.1,claude,AI Synthesis,TASK-001_claude.py,2.0,0.0,0,0.03488326072692871,0.2766,Success,2026-05-09T10:25:28.232098
1.1,claude,AI Synthesis,TASK-002_claude.py,6.5,0.0,0,0.39231419563293457,0.6211,Success,2026-05-09T10:25:28.628279
1.1,claude,AI Synthesis,TASK-003_claude.py,4.67,0.0,0,0.033003807067871094,0.4903,Success,2026-05-09T10:25:28.661283
1.1,claude,AI Synthesis,TASK-004_claude.py,3.33,0.0,0,0.06629467010498047,0.3206,Success,2026-05-09T10:25:28.732414
1.1,claude,AI Synthesis,TASK-005_claude.py,2.33,0.0,1,0.04658937454223633,0.2548,Runtime Error,2026-05-09T10:25:28.779003
1.1,claude,AI Synthesis,TASK-006_claude.py,4.0,0.0,0,0.034976959228515625,0.404,Success,2026-05-09T10:25:28.813980
1.1,claude,AI Synthesis,TASK-007_claude.py,3.0,0.0,0,0.03143477439880371,0.3275,Runtime Error,2026-05-09T10:25:28.845415
1.1,claude,AI Synthesis,TASK-008_claude.py,6.0,100.0,0,0.04994368553161621,0.5436,Success,2026-05-09T10:25:28.902284
1.1,claude,AI Synthesis,TASK-009_claude.py,1.0,0.0,0,0.04189562797546387,0.1999,Success,2026-05-09T10:25:28.944179
1.1,claude,AI Synthesis,TASK-010_claude.py,5.0,100.0,0,0.03364753723144531,0.6,Runtime Error,2026-05-09T10:25:28.977827
1.1,deepseek,AI Synthesis,TASK-001_deepseek.py,2.0,80.0,0,0.0380094051361084,0.267,Success,2026-05-09T10:25:29.022434
1.1,deepseek,AI Synthesis,TASK-002_deepseek.py,9.0,100.0,0,0.3166632652282715,0.8453,Runtime Error,2026-05-09T10:25:29.339097
1.1,deepseek,AI Synthesis,TASK-003_deepseek.py,3.14,100.0,0,0.055281877517700195,0.3209,Runtime Error,2026-05-09T10:25:29.395441
1.1,deepseek,AI Synthesis,TASK-004_deepseek.py,6.33,100.0,0,0.04866361618041992,0.5803,Success,2026-05-09T10:25:29.451523
1.1,deepseek,AI Synthesis,TASK-005_deepseek.py,2.8,85.71,1,0.04392290115356445,0.2966,Runtime Error,2026-05-09T10:25:29.507512
1.1,gemini,AI Synthesis,TASK-001_ai.py,2.0,75.0,0,0.03215146064758301,0.2865,Success,2026-05-09T10:25:29.541670
1.1,gemini,AI Synthesis,TASK-002_ai.py,2.0,100.0,0,0.37381649017333984,0.2661,Success,2026-05-09T10:25:29.920660
1.1,gemini,AI Synthesis,TASK-003_ai.py,6.0,100.0,0,0.05285072326660156,0.5529,Success,2026-05-09T10:25:29.973510
1.1,gemini,AI Synthesis,TASK-004_ai.py,7.0,100.0,0,0.03516125679016113,0.6622,Success,2026-05-09T10:25:30.012230
1.1,gemini,AI Synthesis,TASK-005_ai.py,2.5,100.0,0,0.03779935836791992,0.2843,Success,2026-05-09T10:25:30.050029
1.1,gemini,AI Synthesis,TASK-006_ai.py,4.0,100.0,0,0.03510904312133789,0.4037,Success,2026-05-09T10:25:30.087815
1.1,gemini,AI Synthesis,TASK-007_ai.py,3.0,0.0,0,0.024425029754638672,0.3526,Success,2026-05-09T10:25:30.112240
1.1,gemini,AI Synthesis,TASK-008_ai.py,8.0,100.0,0,0.049967050552368164,0.7036,Success,2026-05-09T10:25:30.162207
1.1,gemini,AI Synthesis,TASK-009_ai.py,2.0,100.0,0,0.04337954521179199,0.2758,Success,2026-05-09T10:25:30.205587
1.1,gemini,AI Synthesis,TASK-010_ai.py,5.0,100.0,0,0.10916709899902344,0.5054,Runtime Error,2026-05-09T10:25:30.314754
1.1,grok,AI Synthesis,TASK-001_grok.py,2.2,60.0,0,0.03438735008239746,0.2943,Runtime Error,2026-05-09T10:25:30.354683
1.1,grok,AI Synthesis,TASK-002_grok.py,6.0,50.0,0,0.30431389808654785,0.6104,Runtime Error,2026-05-09T10:25:30.665975
1.1,grok,AI Synthesis,TASK-003_grok.py,5.5,100.0,0,0.02660822868347168,0.5848,Runtime Error,2026-05-09T10:25:30.706172
1.1,grok,AI Synthesis,TASK-004_grok.py,9.0,100.0,0,0.04328775405883789,0.803,Success,2026-05-09T10:25:30.749459
1.1,grok,AI Synthesis,TASK-005_grok.py,3.5,100.0,0,0.036275386810302734,0.3679,Runtime Error,2026-05-09T10:25:30.785735
1.1,human_samples,Benchmark Reference,TASK-001_manual.py,1.0,100.0,0,0.026421070098876953,0.2339,Success,2026-05-09T10:25:30.812156
1.1,human_samples,Benchmark Reference,TASK-002_manual.py,2.0,0.0,0,0.7792942523956299,0.2109,Success,2026-05-09T10:25:31.595088
1.1,human_samples,Benchmark Reference,TASK-003_manual.py,6.0,0.0,0,0.033005475997924805,0.5967,Success,2026-05-09T10:25:31.628093
1.1,human_samples,Benchmark Reference,TASK-004_manual.py,6.0,0.0,0,0.04081606864929199,0.5681,Success,2026-05-09T10:25:31.668910
1.1,human_samples,Benchmark Reference,TASK-005_manual.py,3.0,0.0,0,0.025768518447875977,0.3637,Success,2026-05-09T10:25:31.694678
1.1,human_samples,Benchmark Reference,TASK-006_manual.py,4.0,0.0,0,0.0237274169921875,0.4439,Success,2026-05-09T10:25:31.718405
1.1,human_samples,Benchmark Reference,TASK-007_manual.py,3.0,0.0,0,0.0352938175201416,0.3179,Success,2026-05-09T10:25:31.753699
1.1,human_samples,Benchmark Reference,TASK-008_manual.py,6.0,0.0,0,0.040415287017822266,0.5586,Runtime Error,2026-05-09T10:25:31.795123
1.1,human_samples,Benchmark Reference,TASK-009_manual.py,1.0,0.0,0,0.03341197967529297,0.2303,Success,2026-05-09T10:25:31.828535
1.1,human_samples,Benchmark Reference,TASK-010_manual.py,3.5,0.0,0,0.11181497573852539,0.3829,Success,2026-05-09T10:25:31.940350
1.1,llama_3_3_70b_versatile,AI Synthesis,task-001.py,2.0,0.0,0,0.02974700927734375,,Success,2026-05-09T10:25:31.977519
1.1,llama_3_3_70b_versatile,AI Synthesis,task-002.py,10.0,0.0,0,0.13823437690734863,,Runtime Error,2026-05-09T10:25:32.115754
1.1,llama_3_3_70b_versatile,AI Synthesis,task-003.py,6.5,0.0,0,0.04526686668395996,,Success,2026-05-09T10:25:32.164118
1.1,llama_3_3_70b_versatile,AI Synthesis,task-004.py,5.0,0.0,0,0.03954362869262695,,Success,2026-05-09T10:25:32.203661
1.1,llama_3_3_70b_versatile,AI Synthesis,task-005.py,3.0,0.0,1,0.025180578231811523,,Success,2026-05-09T10:25:32.228842
